1::on the table in living room::keys|laptop|charger|phone|watch|spects
2::on the table in dining hall::keys|laptop|charger|phone|watch|spects
3::in the cupboard @ bedroom::keys|laptop|charger|phone|watch|spects
4::in the kitchen::keys|laptop|charger|phone|watch|spects
5::on top of fridge::keys|laptop|charger|phone|watch|spects
6::underneath bed::keys|laptop|charger|phone|watch|spects
7::underneath tables::keys|laptop|charger|phone|watch|spects
8::in your office cabin::keys|laptop|charger|phone|watch|spects
9::sofa in living room::keys|laptop|charger|phone|watch|spects
10::backyard garden::keys|laptop|charger|phone|watch|spects
